File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,15.258379999999999,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,22.9876,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,19.91366,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,21.24775,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,23.19399,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,26.495860000000004,JetReconstruction,unknown,EEKt,Best,0.4,1.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,17.487160000000003,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,19.13083,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,21.18326,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,23.813070000000003,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,25.977110000000003,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,29.33959,JetReconstruction,unknown,EEKt,Best,1.0,0.0,Julia,1.12.0-rc1
